exp_no,e_ratio,temp,dose,time,L
0,0.0006578947368421052,15.0,0.092,0.0,0.001
0,0.4151315789473684,15.0,0.092,543.0,0.631
0,0.5993421052631579,15.0,0.092,1086.0,0.911
0,0.8263157894736842,15.0,0.092,2715.0,1.256
0,0.9447368421052631,15.0,0.092,5429.0,1.436
0,0.9927631578947368,15.0,0.092,10858.0,1.509
0,0.994078947368421,15.0,0.092,16286.999999999998,1.511
1,0.9532894736842106,170.0,0.0,0.0,1.449
1,0.9493421052631579,170.0,0.0,10.0,1.443
1,0.9480263157894737,170.0,0.0,20.0,1.441
1,0.9486842105263158,170.0,0.0,40.0,1.442
1,0.9467105263157894,170.0,0.0,80.0,1.439
1,0.9447368421052631,170.0,0.0,160.0,1.436
1,0.9427631578947369,170.0,0.0,320.0,1.433
1,0.9388157894736843,170.0,0.0,640.0,1.427
1,0.9302631578947368,170.0,0.0,1280.0,1.414
1,0.9144736842105262,170.0,0.0,2560.0,1.39
1,0.8875,170.0,0.0,5120.0,1.349
1,0.8473684210526315,170.0,0.0,10240.0,1.288
2,0.9473684210526315,190.0,0.0,0.0,1.44
2,0.9453947368421053,190.0,0.0,10.0,1.437
2,0.9440789473684211,190.0,0.0,20.0,1.435
2,0.9440789473684211,190.0,0.0,40.0,1.435
2,0.9401315789473684,190.0,0.0,80.0,1.429
2,0.9348684210526316,190.0,0.0,160.0,1.421
2,0.9230263157894737,190.0,0.0,320.0,1.403
2,0.9065789473684209,190.0,0.0,640.0,1.378
2,0.8723684210526316,190.0,0.0,1280.0,1.326
2,0.8184210526315789,190.0,0.0,2560.0,1.244
2,0.7388157894736842,190.0,0.0,5120.0,1.123
2,0.6394736842105263,190.0,0.0,10240.0,0.972
3,0.9473684210526315,210.0,0.0,0.0,1.44
3,0.9381578947368421,210.0,0.0,10.0,1.426
3,0.9361842105263158,210.0,0.0,20.0,1.423
3,0.9276315789473684,210.0,0.0,40.0,1.41
3,0.9203947368421053,210.0,0.0,80.0,1.399
3,0.8973684210526316,210.0,0.0,160.0,1.364
3,0.8605263157894737,210.0,0.0,320.0,1.308
3,0.8006578947368421,210.0,0.0,640.0,1.217
3,0.7125,210.0,0.0,1280.0,1.083
3,0.5973684210526315,210.0,0.0,2560.0,0.908
3,0.46118421052631575,210.0,0.0,5120.0,0.701
3,0.33092105263157895,210.0,0.0,10240.0,0.503
4,0.9401315789473684,230.0,0.0,0.0,1.429
4,0.9210526315789473,230.0,0.0,10.0,1.4
4,0.9098684210526315,230.0,0.0,20.0,1.383
4,0.8888157894736842,230.0,0.0,40.0,1.351
4,0.8493421052631578,230.0,0.0,80.0,1.291
4,0.7861842105263158,230.0,0.0,160.0,1.195
4,0.6947368421052632,230.0,0.0,320.0,1.056
4,0.5730263157894737,230.0,0.0,640.0,0.871
4,0.43355263157894736,230.0,0.0,1280.0,0.659
4,0.30197368421052634,230.0,0.0,2560.0,0.459
4,0.17894736842105263,230.0,0.0,5120.0,0.272
4,0.09539473684210525,230.0,0.0,10240.0,0.145
5,0.9111842105263158,250.0,0.0,0.0,1.385
5,0.8671052631578947,250.0,0.0,10.0,1.318
5,0.8315789473684211,250.0,0.0,20.0,1.264
5,0.7743421052631579,250.0,0.0,40.0,1.177
5,0.6875,250.0,0.0,80.0,1.045
5,0.5697368421052631,250.0,0.0,160.0,0.866
5,0.42960526315789477,250.0,0.0,320.0,0.653
5,0.2901315789473684,250.0,0.0,640.0,0.441
5,0.17105263157894737,250.0,0.0,1280.0,0.26
5,0.08552631578947369,250.0,0.0,2560.0,0.13
5,0.035526315789473684,250.0,0.0,5120.0,0.054
5,0.012499999999999999,250.0,0.0,10240.0,0.019
6,0.531578947368421,300.0,0.0,0.0,0.808
6,0.36578947368421055,300.0,0.0,10.0,0.556
6,0.28618421052631576,300.0,0.0,20.0,0.435
6,0.1894736842105263,300.0,0.0,40.0,0.288
6,0.10460526315789474,300.0,0.0,80.0,0.159
6,0.045394736842105265,300.0,0.0,160.0,0.069
6,0.015789473684210527,300.0,0.0,320.0,0.024
6,0.003947368421052632,300.0,0.0,640.0,0.006
6,0.0006578947368421052,300.0,0.0,1280.0,0.001
6,0.0,300.0,0.0,2560.0,0.0
6,0.0,300.0,0.0,5120.0,0.0
6,0.0,300.0,0.0,10240.0,0.0
7,0.04144736842105263,350.0,0.0,0.0,0.063
7,0.013815789473684212,350.0,0.0,10.0,0.021
7,0.006578947368421052,350.0,0.0,20.0,0.01
7,0.001973684210526316,350.0,0.0,40.0,0.003
7,0.0006578947368421052,350.0,0.0,80.0,0.001
7,0.0,350.0,0.0,160.0,0.0
7,0.0,350.0,0.0,320.0,0.0
7,0.0,350.0,0.0,640.0,0.0
7,0.0,350.0,0.0,1280.0,0.0
7,0.0,350.0,0.0,2560.0,0.0
7,0.0,350.0,0.0,5120.0,0.0
7,0.0,350.0,0.0,10240.0,0.0
