,param_0,param_1,param_2,param_3,param_4,param_5,param_6,mse
0,0.0009300250080989588,1.3969246860211681,0.8448797618732644,6401806199390.802,9250202815913.71,49314794298.00195,692.9778296421563,0.021127272727272724
1,0.00047167544393798307,1.195591633668641,0.8325976422672191,31994101145902.062,8889203542981.41,37061086293.14602,703.1333063865645,0.036554545454545465
2,0.0006854419398607686,1.340814658998375,0.606184485214343,83530137672016.02,7283560039034.732,24280788002.610023,596.497444610854,0.04152727272727274
3,0.0008545752259432861,1.0592842856979598,0.778629791116997,88238866798510.25,9505063388925.922,44447077234.01313,399.3330028787927,0.0722090909090909
4,0.0006790872177574365,1.5795518589554545,1.0959122952825198,76233442691034.62,8183653048705.626,37175528044.94133,589.2360112135843,0.08610909090909091
5,0.0003008254551981738,0.9916822869233731,0.5248184227336153,87424535464967.39,3760993622095.516,15875490386.918839,313.7604118601038,0.08699999999999998
6,0.0004785469221610307,0.818219811236008,0.8781840989988965,66863162036079.53,1657020477713.6692,10039408924.527332,444.23749892601154,0.09162727272727272
7,3.4015950720735535e-05,0.8399609561579734,1.4447859870607271,63749876097166.03,9440547752023.389,22171156294.01281,269.86389354167204,0.09162727272727272
8,0.0005188533136933122,1.535807081469412,1.6108573034458538,30967042641161.316,8273300723598.436,33207580170.317303,424.79462920121944,0.10808181818181818
9,0.0009512119625747248,2.01552893021098,1.2309813069639064,73270085143974.17,8202349053520.947,41823295566.24935,382.8171412780374,0.22920000000000004
10,0.000481034464192312,1.8928725764585685,1.245470999383154,90247684202622.8,9346515185838.984,25271633269.668587,464.3863255190456,0.2554363636363637
11,0.0002639031213482034,1.7652682177030365,1.5846706568772526,23671876340712.598,2128282573274.1104,46584549739.698006,398.9659967745238,0.26287272727272726
12,3.9803039975059644e-05,1.982573960535811,0.8154711683913456,80456363255937.81,6527321197706.431,15341083348.125088,405.87839094274057,0.33593636363636364
13,0.0005616489653452653,1.9184120604930708,1.601229238635811,90522728310212.75,2181935091088.7847,31157931445.77095,616.8282538729333,0.33823636363636367
14,0.00013208507741431014,2.0285148891673623,1.7669406674253234,10513867356969.684,7961767640310.979,9268879726.198053,169.6909448563534,0.4899181818181819
